N,d,sigma,weight_decay,e_in_mean,e_out_mean,e_bias
2,4,0.01,0.1,0.03343910019578027,1.0527663533237515,0.5553379846518737
2,4,0.1,0.0,0.001103234145765728,1.4418982549536152,0.6200210394664618
2,4,0.1,0.1,0.029151017248145155,1.1331516259556376,0.46737581186201543
2,4,1,0.0,0.07138918085657726,7.307698260868543,2.3007849518996
2,4,1,0.1,0.23979239580175365,2.7139257934393735,1.5789581272433257
2,5,0.01,0.0,0.0002501546454063505,1.78986575867792,0.692956521561316
2,5,0.01,0.1,0.028458314994917695,1.2771277744674272,0.6536768189274923
2,5,0.1,0.0,0.002666232953947468,1.7093281514567422,0.6035279116014736
2,5,0.1,0.1,0.04213423610578177,1.3338648257923316,0.7779669511364009
2,5,1,0.0,0.029035352939118343,7.496717463310274,2.0952314795448865
2,5,1,0.1,0.07022270439719405,3.093377020784349,1.4611352201329064
2,6,0.01,0.0,0.004902587326619816,2.125705211688996,1.0404723340753599
2,6,0.01,0.1,0.01379579074824466,0.9291322105033366,0.4964243381109064
2,6,0.1,0.0,0.001455710582188689,1.7096032458495123,0.5442334995352063
2,6,0.1,0.1,0.04616390529289475,1.368614449036723,0.6429775970176677
2,6,1,0.0,0.03485895025054583,5.784933268444971,1.494827939189277
2,6,1,0.1,0.06254208709860813,2.6297080084127282,1.572252015597553
2,7,0.01,0.0,0.0006307530050620741,1.986178923215352,0.5196599990468956
2,7,0.01,0.1,0.02892153765618406,1.364178302741868,0.5610104348657204
2,7,0.1,0.0,0.004389498879269288,2.6424033676571788,1.177288065239733
2,7,0.1,0.1,0.038757303195678064,1.5052550048176587,0.9572645666188828
2,7,1,0.0,0.014574627352245009,8.240198091614122,2.968958880648593
2,7,1,0.1,0.040536322706822184,3.329511063134863,1.460086666627967
2,8,0.01,0.0,0.0009687214015485281,1.8685318834567295,0.689093913242066
2,8,0.01,0.1,0.017299681717629748,1.0046204353152821,0.5795776057744356
2,8,0.1,0.0,0.005211919880029224,1.3503920998702594,0.36316198435337965
2,8,0.1,0.1,0.020357980934442528,1.121581666791749,0.5129929429002656
2,8,1,0.0,0.01604740128487914,7.27734176790478,2.336444899178633
2,8,1,0.1,0.0986132160477222,2.9095426872040093,1.3316342143985143
2,9,0.01,0.0,0.0017347008340066344,1.6096041600702478,0.5931696799469994
2,9,0.01,0.1,0.03476362486302516,1.4510910758185056,0.6144111374576694
2,9,0.1,0.0,0.001183913603668414,2.1064549338678673,0.5937520535553306
2,9,0.1,0.1,0.027082509944997744,1.0639774855184894,0.4228048394790293
2,9,1,0.0,0.13497859917426694,5.166448919207946,1.7525155703406838
2,9,1,0.1,0.17562477154918882,3.5655385417142162,1.8067361765981151
2,10,0.01,0.0,0.0004499971618377635,2.3809405694331955,0.6986151823693155
2,10,0.01,0.1,0.01941171620476638,0.9337037335318085,0.4695443819099292
2,10,0.1,0.0,0.0019035819689068117,2.6377594832485345,0.8311456433007154
2,10,0.1,0.1,0.024945764429100896,0.8646388015275441,0.4327624274629759
2,10,1,0.0,4.041025683947611e-05,3.760541917054018,1.3700708258996495
2,10,1,0.1,0.06090343869635808,3.2761303615387853,1.3521261846416466
2,11,0.01,0.0,0.0013613756942729455,1.8977595590308194,0.7346327832113818
2,11,0.01,0.1,0.02579317642727798,0.9863477385669333,0.49464517608028336
2,11,0.1,0.0,0.0003145736060873487,2.778052043018156,0.5627591181748391
2,11,0.1,0.1,0.02900867089517129,1.2591390025281974,0.5629084365524808
2,11,1,0.0,0.003816595695798573,6.78112178940256,1.6513471134398616
2,11,1,0.1,0.07537172935641302,3.683646705189858,1.4626110977478233
2,12,0.01,0.0,0.0027412326227198706,1.6803404372620943,0.4831993771086217
2,12,0.01,0.1,0.0316174341618317,0.9720721436276107,0.5047098538572696
2,12,0.1,0.0,0.001818372833561956,2.3635914106317513,0.4378763357149039
2,12,0.1,0.1,0.03129249536351239,1.425126864773191,0.5864508835346119
2,12,1,0.0,0.024638010318159743,9.228501219612998,1.427980126489907
2,12,1,0.1,0.13861832412707506,3.225865286112544,1.6115084518656433
2,13,0.01,0.0,0.0002335023926947597,3.424038872375713,1.0048111957362766
2,13,0.01,0.1,0.03048485843974439,1.0066290123424237,0.5362332649130435
2,13,0.1,0.0,0.0020338548382518944,2.480669215424146,0.9599679962261689
2,13,0.1,0.1,0.05464553017214422,1.1658201748532553,0.7254629276698088
2,13,1,0.0,0.08210556711918562,9.830088560920233,1.981539654379513
2,13,1,0.1,0.06844851493947872,3.2363233136178122,1.5238602215987962
2,14,0.01,0.0,0.001751719464987283,1.7954000797688046,0.4890022930482578
2,14,0.01,0.1,0.044576212903612876,1.364041902297926,0.8421642695148173
2,14,0.1,0.0,0.001315545280711715,2.7637043347783554,0.841644752732784
2,14,0.1,0.1,0.024702476273786775,1.3957943473640362,0.5695067966991348
2,14,1,0.0,0.03402267793008828,22.41659433594956,3.2082039440297443
2,14,1,0.1,0.11040369284073244,4.767257569537486,2.403324114402766
2,15,0.01,0.0,0.0457825526073007,1.625045652532594,0.3439606814989155
2,15,0.01,0.1,0.030230795363385483,1.4281288683238027,0.704107802058144
2,15,0.1,0.0,0.0015800399391066096,3.424842781759345,1.2753715724957606
2,15,0.1,0.1,0.03727217857592015,1.433623197432679,0.6778400046358586
2,15,1,0.0,0.16295569355711864,11.846427316373092,3.691831184797581
2,15,1,0.1,0.18638705148502846,5.141216997106654,2.0919440766146726
2,16,0.01,0.0,0.000600758098291488,1.947648317553405,0.7309826669462451
2,16,0.01,0.1,0.004603415000742376,0.7553217159919638,0.39989602368348265
2,16,0.1,0.0,0.0017274201161677119,3.795684320178234,1.8806158795871128
2,16,0.1,0.1,0.035280519976172174,1.5738835114792298,0.8883625930981376
2,16,1,0.0,0.11697044290677275,20.360125274295694,2.649977341107533
2,16,1,0.1,0.11781158373799179,3.1670002552321903,1.532897742078822
2,17,0.01,0.0,0.0026076337814698804,2.2474529554196065,0.8858759334386991
2,17,0.01,0.1,0.020182553751844984,1.1580439792337294,0.5246221820804586
2,17,0.1,0.0,0.0052449572213426904,2.8659989970446,0.735659796164914
2,17,0.1,0.1,0.051880437659361754,1.171041482384452,0.47031993813361445
2,17,1,0.0,0.16452985956384183,4.917884367148131,1.3831243855524777
2,17,1,0.1,0.09278684365807746,3.9064739390452146,2.0391838320169544
2,18,0.01,0.0,0.0005264834642880811,1.9474854126160515,0.4361290074610822
2,18,0.01,0.1,0.03336620445822274,1.2466515666498916,0.47516829152168233
2,18,0.1,0.0,2.6733468975042336e-05,2.4482875604127288,0.551269390709175
2,18,0.1,0.1,0.021433936696939587,1.0354379578896018,0.4738914218119411
2,18,1,0.0,0.1013178803886267,8.745153212339426,1.6129852940265792
2,18,1,0.1,0.07560277375918911,2.818885762310335,1.4892966338544542
2,19,0.01,0.0,0.03067875280083777,2.795027703628304,0.6271705329347512
2,19,0.01,0.1,0.04716311109132514,1.55828801735806,0.9932888286101009
2,19,0.1,0.0,0.0020001057483429643,3.413936235720994,1.4943831969399446
2,19,0.1,0.1,0.03094326888134601,1.137090576275288,0.5551185496792186
2,19,1,0.0,0.07129640472716951,6.761801295140193,1.8719092902379797
2,19,1,0.1,0.08504819752650447,3.26275411833263,1.3985313053804438
2,20,0.01,0.0,0.035758899843436866,1.951842270546019,0.5556482279437059
2,20,0.01,0.1,0.062322632689880274,1.0513736929637445,0.5707549463773935
2,20,0.1,0.0,0.0005215234430493265,2.8989681640645633,0.9108274568246731
2,20,0.1,0.1,0.023638761810162067,1.0650330813586408,0.4213890657269866
2,20,1,0.0,0.030812635256186993,6.71803471371827,1.875637210801377
2,20,1,0.1,0.1707968235030378,2.7790852863799436,1.5092846277428773
5,0,0.01,0.0,0.37738838132410074,0.6693740246233884,0.4991176720385405
5,0,0.01,0.1,0.35635783191594533,0.6103728278999566,0.5085174361231765
5,0,0.1,0.0,0.46874583437400374,0.5863993007832523,0.5271948951842717
5,0,0.1,0.1,0.4472729302228333,0.5970029411957902,0.5187782593225586
5,0,1,0.0,1.0466266919711074,1.7435894301263055,1.5919763241607274
5,0,1,0.1,1.1619222882748332,1.7835797064591987,1.4982829333228378
5,1,0.01,0.0,0.279537907991639,1.1190924883694229,0.559601603675307
5,1,0.01,0.1,0.22651277604109335,0.8878333028441349,0.5441995618449599
5,1,0.1,0.0,0.22700909739352926,1.2711131241033138,0.6198888171147466
5,1,0.1,0.1,0.20541696729345665,0.8540304510054915,0.5016651890662486
5,1,1,0.0,0.8458882598623662,3.0304357033130978,1.6807715751345984
5,1,1,0.1,0.841858621725191,2.3546718424753728,1.5448596899156934
5,2,0.01,0.0,0.111174705918096,0.9647523812321659,0.3446782280315715
5,2,0.01,0.1,0.22088649737188773,0.8792078441482107,0.51257339395279
5,2,0.1,0.0,0.11463848465555512,1.3527432850016807,0.4089751092606401
5,2,0.1,0.1,0.19657897990471507,0.7133237272080241,0.44910619243466454
5,2,1,0.0,0.5376269646259608,2.2954530915484503,1.556225461631975
5,2,1,0.1,0.7618770222889055,2.156958472087305,1.4014984810099336
5,3,0.01,0.0,0.06227406496613169,0.4321612535015098,0.1472949638119939
5,3,0.01,0.1,0.12186339362441637,0.9070608373011388,0.4157239279451785
5,3,0.1,0.0,0.06529377724949345,0.7738808018290945,0.24343235091218754
5,3,0.1,0.1,0.1327069826587834,1.1091827776467635,0.46452125679539163
5,3,1,0.0,0.46563448515989425,3.416176866010234,1.1677471797186272
5,3,1,0.1,0.6377417838685435,2.4760105600923175,1.5054752665851447
5,4,0.01,0.0,0.05811707530953565,0.6942084519198537,0.16492119976657607
5,4,0.01,0.1,0.09926999491255481,0.646795410934623,0.27636145977244225
5,4,0.1,0.0,0.05754018510675167,0.569031368668168,0.18902303603596513
5,4,0.1,0.1,0.09330553259581784,0.9949625636590606,0.390550760694652
5,4,1,0.0,0.5679421893324929,2.6954481017510306,1.4785598087557976
5,4,1,0.1,0.595364034864984,2.5851442275093617,1.4757160325002656
5,5,0.01,0.0,0.028290073369953827,1.5405602074171505,0.3668113141188353
5,5,0.01,0.1,0.07684894328106445,1.1314549944151795,0.43610481833523906
5,5,0.1,0.0,0.047771020230614365,0.5469845039455967,0.1471523707479156
5,5,0.1,0.1,0.10555190405905421,0.6271828403154787,0.24505907074414893
5,5,1,0.0,0.4872028325804452,2.5927924750482934,1.12355161127153
5,5,1,0.1,0.6161026975346455,2.859918534448263,1.3027121460104119
5,6,0.01,0.0,0.039495402552299705,1.036888045823042,0.1817490814705163
5,6,0.01,0.1,0.06091375018276325,0.8062643303067031,0.34752682803614293
5,6,0.1,0.0,0.037656437930246436,0.6383372292469489,0.21923816703213117
5,6,0.1,0.1,0.08815245568921273,0.4800045556415841,0.22834117336164672
5,6,1,0.0,0.6241423209868912,2.5661362829462813,1.3098799485705306
5,6,1,0.1,0.40273039050761544,2.6387041308023713,1.3206060730974691
5,7,0.01,0.0,0.03014476753641738,0.9156353371577504,0.16764637901011237
5,7,0.01,0.1,0.06507668297942494,0.7636642586667877,0.2369088110130837
5,7,0.1,0.0,0.04341980398450498,0.7110636008794653,0.1710896822618327
5,7,0.1,0.1,0.0850662068862014,0.5013816822276562,0.24124170283971036
5,7,1,0.0,0.4994257775314564,2.9475762367830436,1.1796678057621537
5,7,1,0.1,0.6150833519810993,2.7935274749432395,1.3684104640836778
5,8,0.01,0.0,0.03828840673449656,0.8236715264200429,0.16551981778869243
5,8,0.01,0.1,0.07550516894541537,0.6941578527249403,0.2227081780828024
5,8,0.1,0.0,0.03676957795913507,0.7131539724147442,0.18658006128680746
5,8,0.1,0.1,0.07080213937671036,0.46892526859925254,0.23973318261330342
5,8,1,0.0,0.42990630148590236,4.012921943768826,1.300080777315562
5,8,1,0.1,0.5843243253361096,2.8464899418150726,1.2592561684163346
5,9,0.01,0.0,0.029314831632925403,0.6029205210596351,0.22262543511624408
5,9,0.01,0.1,0.058840894585165934,0.7537822738363907,0.259572172601017
5,9,0.1,0.0,0.05105905956224025,1.0282161406635697,0.2546648244839398
5,9,0.1,0.1,0.08266033730799614,0.7008186158604384,0.2547717207118811
5,9,1,0.0,0.3951332649641327,3.229936129737454,1.27020969946738
5,9,1,0.1,0.4105419597144057,3.002165957764913,1.2936689300536712
5,10,0.01,0.0,0.03666669992294825,0.7844746133178823,0.22655207806962027
5,10,0.01,0.1,0.09502234483253477,0.6408812477222608,0.20944465413644037
5,10,0.1,0.0,0.04106724004292708,0.7600538891819169,0.21496292916065624
5,10,0.1,0.1,0.10073223666138176,0.6547483587508078,0.22552186678896669
5,10,1,0.0,0.4040061375255083,4.192615524382953,1.1520095692283783
5,10,1,0.1,0.5706643483826099,2.175696024055283,1.3143579583661267
5,11,0.01,0.0,0.033062831535446986,0.5924780395463287,0.24871875368053356
5,11,0.01,0.1,0.0811310052191986,0.5802976891077839,0.21892769677990942
5,11,0.1,0.0,0.0393578266187709,0.684551893029995,0.20836774672439565
5,11,0.1,0.1,0.08732905174944486,0.7430367978151649,0.28339490906462833
5,11,1,0.0,0.37110887020389693,3.467189470146792,1.5331700265651984
5,11,1,0.1,0.36185459445523244,2.2500762532179897,1.3302802953214292
5,12,0.01,0.0,0.037834768427779095,0.581947670500124,0.161647840371883
5,12,0.01,0.1,0.08578907068802247,0.5660558572104882,0.22589416098874784
5,12,0.1,0.0,0.044828380010493586,0.6732754758818646,0.2691441343315865
5,12,0.1,0.1,0.07347343539142089,0.643833753656296,0.2450199266605274
5,12,1,0.0,0.548978799553606,3.6882976101677074,1.3300954060269203
5,12,1,0.1,0.6021725045091848,2.795369367735394,1.3660130311641
