rnn_type,hidden_state,dropout,num_layers,bidirectional,best_epoch,train_loss,test_loss,accuracy
lstm,100,0,1,True,1,0.443382,0.326171,86.03
lstm,100,0,2,False,1,0.383385,0.27046,89.05
lstm,100,0,2,True,1,0.360739,0.262898,89.72
lstm,100,0.2,1,False,2,0.207024,0.293508,88.16
lstm,100,0.2,1,True,2,0.209206,0.280234,88.87
lstm,100,0.2,2,False,1,0.400359,0.275897,88.86
lstm,100,0.2,2,True,2,0.194703,0.261614,89.67
lstm,100,0.5,1,False,2,0.246552,0.285595,88.8
lstm,100,0.5,1,True,3,0.174308,0.32539,87.87
lstm,100,0.5,2,False,1,0.418558,0.279265,88.82
lstm,100,0.5,2,True,3,0.162838,0.289614,89.42
lstm,200,0,1,False,2,0.143674,0.290106,88.48
lstm,200,0,1,True,,,,
lstm,200,0,2,False,,,,
lstm,200,0,2,True,,,,
lstm,200,0.2,1,False,1,0.3505,0.267879,89.25
lstm,200,0.2,1,True,,,,
lstm,200,0.2,2,False,,,,
lstm,200,0.2,2,True,,,,
lstm,200,0.5,1,False,1,0.355361,0.259895,89.69
lstm,200,0.5,1,True,,,,
lstm,200,0.5,2,False,,,,
lstm,200,0.5,2,True,,,,
lstm,500,0,1,False,2,0.142316,0.293546,88.78
lstm,500,0,1,True,,,,
lstm,500,0,2,False,,,,
lstm,500,0,2,True,,,,
lstm,500,0.2,1,False,1,0.330078,0.247589,90.29
lstm,500,0.2,1,True,,,,
lstm,500,0.2,2,False,,,,
lstm,500,0.2,2,True,,,,
lstm,500,0.5,1,False,1,0.357314,0.264822,89.88
lstm,500,0.5,1,True,,,,
lstm,500,0.5,2,False,,,,
lstm,500,0.5,2,True,,,,
